Assessment Name,URL,Category,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Duration,Cleaned Description,cleaned_full_text
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,Pre-packaged Job Solutions,No,No,"A, B","The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,",35,manufacturing production team member solution designed entrylevel position measure behavior experience underlie successful safe performance workplace production worker solution measure candidate error checking ability general tendency behave safely efficiently workplace solution us variety assessment type including measure personality trait safetyrelated situational judgment error checking manufacturing production team member solution designed selection job title production worker material handler driver forklift operator crewman mechanic receiver,Manufacturing Production Team Member. manufacturing production team member solution designed entrylevel position measure behavior experience underlie successful safe performance workplace production worker solution measure candidate error checking ability general tendency behave safely efficiently workplace solution us variety assessment type including measure personality trait safetyrelated situational judgment error checking manufacturing production team member solution designed selection job title production worker material handler driver forklift operator crewman mechanic receiver
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Pre-packaged Job Solutions,No,No,"A, B","The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician.","Entry-Level,",45,manufacturing skilled maintenance solution designed entrylevel position measure behavior experience underlie successful safe performance workplace solution measure candidate mechanical comprehension ability general tendency behave safely efficiently workplace solution us variety assessment type including measure personality trait safetyrelated situational judgment mechanical comprehension manufacturing skilled maintenance solution designed selection job title industrial machinery mechanic automotive service technician small engine mechanic mobile equipment service technician diesel service technician,Manufacturing Skilled Maintenance Worker. manufacturing skilled maintenance solution designed entrylevel position measure behavior experience underlie successful safe performance workplace solution measure candidate mechanical comprehension ability general tendency behave safely efficiently workplace solution us variety assessment type including measure personality trait safetyrelated situational judgment mechanical comprehension manufacturing skilled maintenance solution designed selection job title industrial machinery mechanic automotive service technician small engine mechanic mobile equipment service technician diesel service technician
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,Pre-packaged Job Solutions,No,Yes,"P, S, K, B, A","The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.","Professional Individual Contributor,",41,network engineeranalyst solution designed use professional level telecommunication engineer network analyst solution focused position involve design monitoring complex telecommunication network place emphasis reasoning ability attention detail multitasking sample task may include designing network network element ensuring proper network operation performance monitoring troubleshooting electronic data communication network potential job title use solution network engineer network analyst communication engineer multiple configuration solution available,Network Engineer/Analyst Solution. network engineeranalyst solution designed use professional level telecommunication engineer network analyst solution focused position involve design monitoring complex telecommunication network place emphasis reasoning ability attention detail multitasking sample task may include designing network network element ensuring proper network operation performance monitoring troubleshooting electronic data communication network potential job title use solution network engineer network analyst communication engineer multiple configuration solution available
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,Pre-packaged Job Solutions,No,Yes,"S, A, B, P","The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees.  Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",59,nurse leader solution assessment used job candidate applying entrylevel nurse leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning nurse specific duty coaching nurse attendance conduct schedule adherence work related task developing nurse skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others healthcare setting potential job title use solution nurse leader nurse manager multiple configuration version solution available,Nurse Leader Solution. nurse leader solution assessment used job candidate applying entrylevel nurse leadership position tend supervise hourly employee sample task job include limited planning preparing work schedule assigning nurse specific duty coaching nurse attendance conduct schedule adherence work related task developing nurse skill training subordinate prioritizing multiple task priority making daytoday decision minimal guidance others healthcare setting potential job title use solution nurse leader nurse manager multiple configuration version solution available
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,Pre-packaged Job Solutions,No,Yes,"P, A, B","The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration.  Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues.  Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse.  Multiple configurations of this solution are available.","Professional Individual Contributor,",66,nurse solution professionallevel healthcare nursing position require licensing registration sample task job include limited assessing health condition patient documenting patient medical information creating nursing care plan educating patient healthcare issue potential job title use solution registered nurse charge nurse licensed practical nurse clinic nurse multiple configuration solution available,Nurse Solution. nurse solution professionallevel healthcare nursing position require licensing registration sample task job include limited assessing health condition patient documenting patient medical information creating nursing care plan educating patient healthcare issue potential job title use solution registered nurse charge nurse licensed practical nurse clinic nurse multiple configuration solution available
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,Pre-packaged Job Solutions,No,No,"A, B, P","The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake.  Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant.  Multiple configurations of this solution are available.","Entry-Level,",41,nursing assistant solution entrylevel position clinic hospital environment sample task job include limited turning repositioning bedridden patient feeding patient feed observing patient condition including measuring recording food intake potential job title use solution certified nursing assistant nursing aide patient care technician hospital attendant multiple configuration solution available,Nursing Assistant Solution. nursing assistant solution entrylevel position clinic hospital environment sample task job include limited turning repositioning bedridden patient feeding patient feed observing patient condition including measuring recording food intake potential job title use solution certified nursing assistant nursing aide patient care technician hospital attendant multiple configuration solution available
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,Pre-packaged Job Solutions,No,No,"A, B, K, P, S","The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.","Entry-Level, Mid-Professional,",30,personal banker loan officer solution entry midlevel financial institution position sample task job would include limited acquiring retaining expanding new existing customer relationship discovering customer need making best recommendation completing sale proactively contacting meeting customer asking referral,Personal Banker - Short Form. personal banker loan officer solution entry midlevel financial institution position sample task job would include limited acquiring retaining expanding new existing customer relationship discovering customer need making best recommendation completing sale proactively contacting meeting customer asking referral
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,Pre-packaged Job Solutions,No,No,"A, B, P","This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.","Entry-Level, Mid-Professional,",40,solution entry midlevel financial institution position candidate asked answer multiple choice question assess learning potential dependability persistence planfulness sale focus customer focus working information,Phone Banker - Short Form. solution entry midlevel financial institution position candidate asked answer multiple choice question assess learning potential dependability persistence planfulness sale focus customer focus working information
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.","Entry-Level,",24,prepline cook solution entrylevel food preparation position hospitality industry sample task include preparing ingredient final food item consumption solution focused work ethic performing quality work direct customer contact sale requirement potential job title use solution cook line cook food preparer prep cook chef multiple configuration solution available,Prep/Line Cook Solution. prepline cook solution entrylevel food preparation position hospitality industry sample task include preparing ingredient final food item consumption solution focused work ethic performing quality work direct customer contact sale requirement potential job title use solution cook line cook food preparer prep cook chef multiple configuration solution available
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Pre-packaged Job Solutions,No,Yes,"A, B, C","Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).","Mid-Professional, Professional Individual Contributor,",51,professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service report language availability english usa,Professional + 7.0 Solution. professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service report language availability english usa
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,Pre-packaged Job Solutions,No,Yes,"B, C, P","Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","General Population, Mid-Professional, Professional Individual Contributor,",56,professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service,Professional + 7.1 (Americas). professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Pre-packaged Job Solutions,No,Yes,"B, C, P","Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","General Population, Mid-Professional, Professional Individual Contributor,",56,professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service,Professional + 7.1 (International). professional solution designed nonmanagerial professional individual contributor position includes shls new innovative mobilefirst ability assessment verify interactive deductive reasoning sample task job include limited gathering requirement analyzing data managing project producing product service
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,Pre-packaged Job Solutions,No,No,"B, C","Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA), Latin American Spanish.","Mid-Professional, Professional Individual Contributor,",33,professional solution designed nonmanagerial professional individual contributor position sample task job include limited gathering requirement analyzing data managing project producing product service report language availability english usa latin american spanish,Professional 7.0 Solution. professional solution designed nonmanagerial professional individual contributor position sample task job include limited gathering requirement analyzing data managing project producing product service report language availability english usa latin american spanish
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,Pre-packaged Job Solutions,No,No,"C, B","Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Professional Individual Contributor, Mid-Professional,",33,professional solution designed nonmanagerial professional individual contributor position sample task job include limited gathering requirement analyzing data managing project producing product service,Professional 7.1 (International). professional solution designed nonmanagerial professional individual contributor position sample task job include limited gathering requirement analyzing data managing project producing product service
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,Pre-packaged Job Solutions,No,No,"B, K, P",The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries.,"Professional Individual Contributor,",16,professional jobfocused assessment designed nonmanagerial professionalindividual contributor position measure behavior underlie successful performance professionalindividual contributor setting across wide range industry,Professional 8.0 JFA. professional jobfocused assessment designed nonmanagerial professionalindividual contributor position measure behavior underlie successful performance professionalindividual contributor setting across wide range industry
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. Potential job titles that use this solution are: Engineer, Human Resource Consultant, and IT Analyst.","Mid-Professional, Professional Individual Contributor,",44,professionalindividual contributor solution mid upperlevel nonmanagerial position sample task job include limited meeting client determine need analyzing data set working coworkers complete project potential job title use solution engineer human resource consultant analyst,Professional/Individual Contributor - Short Form. professionalindividual contributor solution mid upperlevel nonmanagerial position sample task job include limited meeting client determine need analyzing data set working coworkers complete project potential job title use solution engineer human resource consultant analyst
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. Potential job titles that ues this solution are: Project Manager, Implementation Manager, Construction Project Manager and IT Project Manager.","Professional Individual Contributor,",49,project manager solution designed position lead medium large scale project multiple team member involved sample task job include limited guiding supervising influencing project team member scoping project resource requirement managing project timeline scope budget potential job title ues solution project manager implementation manager construction project manager project manager,Project Manager - Short Form. project manager solution designed position lead medium large scale project multiple team member involved sample task job include limited guiding supervising influencing project team member scoping project resource requirement managing project timeline scope budget potential job title ues solution project manager implementation manager construction project manager project manager
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Pre-packaged Job Solutions,No,No,S,"The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers.  Potential job titles include:  Proof Operator, Bank Operations Processor, and Operations Specialist.","Entry-Level,",30,proof operator processing specialist solution entrylevel position perform basic daily bank operation procedure processing deposit reconciling account handling money transfer potential job title include proof operator bank operation processor operation specialist,Proof Operator - Processing Specialist -Short Form. proof operator processing specialist solution entrylevel position perform basic daily bank operation procedure processing deposit reconciling account handling money transfer potential job title include proof operator bank operation processor operation specialist
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,Pre-packaged Job Solutions,No,Yes,"A, P, S, B","The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may indlude making, updating, or canceling reservations; looking up information and entering information into a computer; providing information on the hotel and the services offered. Potential titles that use this solution are: Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,",43,reservation agent solution designed entrylevel position within hospitality industry sample task may indlude making updating canceling reservation looking information entering information computer providing information hotel service offered potential title use solution reservation agent customer service representative reservationist multiple configuration solution available,Reservation Agent Solution. reservation agent solution designed entrylevel position within hospitality industry sample task may indlude making updating canceling reservation looking information entering information computer providing information hotel service offered potential title use solution reservation agent customer service representative reservationist multiple configuration solution available
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P, S","The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff. The solution is focused on managing staff, solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Restaurant Manager and General Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",48,restaurant manager solution designed management level position hospitality industry sample task include purchasing food supply accounting setting policy procedure managing staff solution focused managing staff solving problem making good decision maintaining focus customer potential job title use solution restaurant manager general manager multiple configuration solution available,Restaurant Manager Solution. restaurant manager solution designed management level position hospitality industry sample task include purchasing food supply accounting setting policy procedure managing staff solution focused managing staff solving problem making good decision maintaining focus customer potential job title use solution restaurant manager general manager multiple configuration solution available
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource, setting schedules and monitoring daily operations. The solution is focused on solving problems, making good decisions and maintaining focus on the customer. Potential job titles that use this solution are: Restaurant Supervisor and Restaurant Staff Supervisor. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,",53,restaurant supervisor solution designed management level position hospitality industry sample task include serving staff resource setting schedule monitoring daily operation solution focused solving problem making good decision maintaining focus customer potential job title use solution restaurant supervisor restaurant staff supervisor multiple configuration solution available,Restaurant Supervisor Solution. restaurant supervisor solution designed management level position hospitality industry sample task include serving staff resource setting schedule monitoring daily operation solution focused solving problem making good decision maintaining focus customer potential job title use solution restaurant supervisor restaurant staff supervisor multiple configuration solution available
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue.  Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.  Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Retail Sales Associate. There are multiple configurations and versions of this solution available.","Entry-Level,",45,retail consultant solution entry midlevel retail position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship potential job title use solution sale consultant sale representative retail sale associate multiple configuration version solution available,Retail Consultant Solution. retail consultant solution entry midlevel retail position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship potential job title use solution sale consultant sale representative retail sale associate multiple configuration version solution available
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Assistant Manager, Sales Supervisor, Retail Manager, and Floor Leader. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",43,retail manager sale solution assessment used job candidate applying entrylevel leadership position tend supervise hourly employee also significant portion job performance based sale customer service sample task job include limited planning preparing work schedule assigning employee specific duty promoting product customer training subordinate building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution assistant manager sale supervisor retail manager floor leader multiple configuration version solution available,Retail Manager w/ Sales Solution. retail manager sale solution assessment used job candidate applying entrylevel leadership position tend supervise hourly employee also significant portion job performance based sale customer service sample task job include limited planning preparing work schedule assigning employee specific duty promoting product customer training subordinate building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution assistant manager sale supervisor retail manager floor leader multiple configuration version solution available
Retail Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Retail Sales Associate solution is for entry-level retail positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue.  Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.  Potential job titles that use this solution are: Sales Representative, Retail Sales Associate, and Sales Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,",29,retail sale associate solution entrylevel retail position employee proactively sell product customer pay andor performance based sale revenue sample task job include limited promoting product customer persuading customer buy product completing transaction customer potential job title use solution sale representative retail sale associate sale clerk multiple configuration version solution available,Retail Sales Associate Solution. retail sale associate solution entrylevel retail position employee proactively sell product customer pay andor performance based sale revenue sample task job include limited promoting product customer persuading customer buy product completing transaction customer potential job title use solution sale representative retail sale associate sale clerk multiple configuration version solution available
Sales Director Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-director-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Sales Director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories.  Sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals.  Potential job titles that use this solution are: Regional Sales Director, District Sales Manager, and Sales Director.  Multiple configurations of this solution are available.","Director, Front Line Manager, Manager,",59,sale director solution mid seniorlevel sale management position oversee sale function across multiple office geographic territory sample task job include limited directing group sale supervisor sale manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional sale director district sale manager sale director multiple configuration solution available,Sales Director Solution. sale director solution mid seniorlevel sale management position oversee sale function across multiple office geographic territory sample task job include limited directing group sale supervisor sale manager profit loss responsibility district region aligning work overall company goal potential job title use solution regional sale director district sale manager sale director multiple configuration solution available
Sales Engineer Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-engineer-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, K, P, S","The Sales Engineer solution is designed for use with professional level telecommunications engineers with distinct sales responsibilities. The solution is focused on positions that involve the design of telecommunications networks for specific customer applications, and places an emphasis on reasoning ability and sales ability. Sample tasks may include: designing network solutions to meet customer needs, communicating technical information to all levels of clients participating in the sales process, assisting or owning the sales process, and ensuring proper implementation of contracted equipment and services. Potential job titles that use this solution are: Sales Engineer, Senior Technical Consultant, and Technical Sales Lead. There are multiple configurations of this solution available.","Professional Individual Contributor,",61,sale engineer solution designed use professional level telecommunication engineer distinct sale responsibility solution focused position involve design telecommunication network specific customer application place emphasis reasoning ability sale ability sample task may include designing network solution meet customer need communicating technical information level client participating sale process assisting owning sale process ensuring proper implementation contracted equipment service potential job title use solution sale engineer senior technical consultant technical sale lead multiple configuration solution available,Sales Engineer Solution. sale engineer solution designed use professional level telecommunication engineer distinct sale responsibility solution focused position involve design telecommunication network specific customer application place emphasis reasoning ability sale ability sample task may include designing network solution meet customer need communicating technical information level client participating sale process assisting owning sale process ensuring proper implementation contracted equipment service potential job title use solution sale engineer senior technical consultant technical sale lead multiple configuration solution available
Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-manager-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer
relationships, and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Sales Manager and Manager of Direct Sales.","Front Line Manager, Manager,",63,sale manager solution assessment used applying entry midlevel sale leadership position generally manage employee significant portion job performance based sale sample task job include limited planning preparing sale plan promoting product customer training subordinate building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution sale manager manager direct sale,Sales Manager Solution. sale manager solution assessment used applying entry midlevel sale leadership position generally manage employee significant portion job performance based sale sample task job include limited planning preparing sale plan promoting product customer training subordinate building ongoing customer relationship making daytoday decision minimal guidance others potential job title use solution sale manager manager direct sale
Sales Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-0-solution/,Pre-packaged Job Solutions,No,No,"C, B","Our Sales Professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.
Report Language Availability: English (USA).","Mid-Professional, Professional Individual Contributor,",21,sale professional solution designed entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship report language availability english usa,Sales Professional 7.0 Solution. sale professional solution designed entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship report language availability english usa
Sales Professional 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Pre-packaged Job Solutions,No,No,"B, C","Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Professional Individual Contributor, Mid-Professional,",21,sale professional solution designed entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship,Sales Professional 7.1 (Americas). sale professional solution designed entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship
Sales Professional Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-professional-solution/,Pre-packaged Job Solutions,No,Yes,"A, B, P","The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.
Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Account Representative. Multiple configurations of this solution are available.","Mid-Professional,",47,sale professional solution entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship potential job title use solution sale consultant sale representative account representative multiple configuration solution available,Sales Professional Solution. sale professional solution entry midlevel sale position employee proactively sell product customer develop relationship repeat customer pay andor performance heavily based sale revenue sample task job include limited promoting product customer persuading customer buy product building ongoing customer relationship potential job title use solution sale consultant sale representative account representative multiple configuration solution available
